,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
132,0.7906,Tue Apr 03 05:17:01 +0000 2018,0.579,0.0,0.421,Tonight we #LightItUpBlue for greater understanding and acceptance. CBS supports #WorldAutismAwarenessDay by lighti… https://t.co/hBAXcDvP4r,33,CBS
133,0.1513,Mon Apr 02 17:30:00 +0000 2018,0.792,0.092,0.116,No one does it quite like @eltonofficial. The artist himself will belt out some of his chart-topping hits on Elton… https://t.co/ckY4bUvTXI,34,CBS
134,0.6486,Sun Apr 01 17:00:03 +0000 2018,0.798,0.0,0.202,The Las Vegas strip is about to light up brighter than ever before when Country Music’s Party Of The Year® takes ov… https://t.co/j1A2ZVHAoO,35,CBS
135,0.0,Sat Mar 31 18:00:00 +0000 2018,1.0,0.0,0.0,"“If you don’t do something about it, then who are you? … It can happen to anyone.” - @aplusk 

Tonight at 10/9c, a… https://t.co/EQabNc1UZI",36,CBS
136,0.4199,Sat Mar 31 15:30:00 +0000 2018,0.887,0.0,0.113,Give it up for @KelseaBallerini! This star is one of the Female Vocalist Of The Year nominees and she's ready to ta… https://t.co/wLyHwkEGs2,37,CBS
137,0.4926,Fri Mar 30 16:50:00 +0000 2018,0.873,0.0,0.127,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP,38,CBS
138,0.0,Thu Mar 29 17:32:40 +0000 2018,1.0,0.0,0.0,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv",39,CBS
139,0.0,Thu Mar 29 17:30:02 +0000 2018,1.0,0.0,0.0,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R",40,CBS
140,0.3818,Tue Mar 27 21:00:01 +0000 2018,0.68,0.108,0.212,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu,41,CBS
141,0.296,Tue Mar 27 17:00:00 +0000 2018,0.901,0.0,0.099,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj,42,CBS
142,0.508,Mon Mar 26 22:14:25 +0000 2018,0.88,0.0,0.12,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",43,CBS
143,0.0,Mon Mar 26 20:42:48 +0000 2018,1.0,0.0,0.0,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",44,CBS
144,0.7959,Mon Mar 26 16:59:19 +0000 2018,0.786,0.0,0.214,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…,45,CBS
145,0.807,Mon Mar 26 16:05:18 +0000 2018,0.622,0.0,0.378,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj",46,CBS
146,0.0,Sun Mar 25 23:57:34 +0000 2018,1.0,0.0,0.0,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs,47,CBS
147,0.5319,Sun Mar 25 17:15:25 +0000 2018,0.78,0.062,0.157,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR,48,CBS
148,0.5399,Sat Mar 24 22:46:53 +0000 2018,0.801,0.0,0.199,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P,49,CBS
149,-0.34,Sat Mar 24 22:46:43 +0000 2018,0.7,0.185,0.115,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest,50,CBS
150,0.7003,Sat Mar 24 22:25:03 +0000 2018,0.791,0.0,0.209,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…",51,CBS
151,0.0,Sat Mar 24 22:21:37 +0000 2018,1.0,0.0,0.0,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜,52,CBS
152,0.0,Sat Mar 24 22:21:34 +0000 2018,1.0,0.0,0.0,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…",53,CBS
153,0.7184,Sat Mar 24 22:21:26 +0000 2018,0.667,0.0,0.333,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest",54,CBS
154,0.9451,Sat Mar 24 22:21:23 +0000 2018,0.58,0.0,0.42,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…,55,CBS
155,0.0,Sat Mar 24 20:00:02 +0000 2018,1.0,0.0,0.0,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x",56,CBS
156,0.6996,Fri Mar 23 22:33:52 +0000 2018,0.806,0.0,0.194,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW,57,CBS
157,0.4939,Fri Mar 23 22:33:04 +0000 2018,0.686,0.0,0.314,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU,58,CBS
158,0.8997,Fri Mar 23 22:32:48 +0000 2018,0.645,0.0,0.355,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…",59,CBS
159,0.0,Thu Mar 22 22:10:29 +0000 2018,1.0,0.0,0.0,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC,60,CBS
160,0.7081,Thu Mar 22 20:52:02 +0000 2018,0.623,0.066,0.311,Save the date! These are season finales you do NOT want to miss. RT if you're excited! https://t.co/UUQoWsPPSh https://t.co/cDl4WmxMtU,61,CBS
161,0.636,Thu Mar 22 00:23:38 +0000 2018,0.802,0.0,0.198,Congratulations to all of the @CBSDaytime nominees for the #DaytimeEmmys! See the full list of #DaytimeEmmy nominee… https://t.co/ivJVJWvfsf,62,CBS
162,0.0,Wed Mar 21 18:00:01 +0000 2018,1.0,0.0,0.0,Female Vocalist Of The Year nominee @MarenMorris will show her fans how it’s done when she takes the stage to showc… https://t.co/PITjmAoFT8,63,CBS
163,0.5106,Tue Mar 20 20:00:01 +0000 2018,0.858,0.0,0.142,The legendary @Reba returns to host the 53rd #ACMawards and she’s proving just how comfortable she is behind the mi… https://t.co/XPXcSPRXqC,64,CBS
164,0.0,Tue Mar 20 17:58:43 +0000 2018,1.0,0.0,0.0,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…,65,CBS
165,0.5562,Tue Mar 20 16:52:42 +0000 2018,0.826,0.0,0.174,RT @ladyantebellum: Ecstatic to announce we'll be performing at the #ACMawards in Las Vegas again this year! https://t.co/Qfhs94j6FR,66,CBS
166,0.0,Tue Mar 20 16:11:00 +0000 2018,1.0,0.0,0.0,"Country superstars @kennychesney, @ladyantebellum, @blakeshelton, and @KeithUrban have just been added to the stell… https://t.co/bJ4If7MacP",67,CBS
167,0.7845,Mon Mar 19 21:02:26 +0000 2018,0.619,0.072,0.309,"RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ❤️ Get ready to celebrate 45 years of #YR starting in just…",68,CBS
168,0.0,Sun Mar 18 23:44:30 +0000 2018,1.0,0.0,0.0,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,69,CBS
169,0.6514,Sun Mar 18 18:05:43 +0000 2018,0.787,0.0,0.213,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,70,CBS
170,0.1867,Sun Mar 18 17:09:53 +0000 2018,0.92,0.0,0.08,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",71,CBS
171,0.0,Sat Mar 17 19:00:02 +0000 2018,1.0,0.0,0.0,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",72,CBS
172,0.6166,Sat Mar 17 17:42:43 +0000 2018,0.839,0.0,0.161,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,73,CBS
173,0.7096,Sat Mar 17 14:00:03 +0000 2018,0.753,0.0,0.247,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,74,CBS
174,0.296,Fri Mar 16 22:53:21 +0000 2018,0.896,0.0,0.104,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,75,CBS
175,0.0,Fri Mar 16 18:15:53 +0000 2018,1.0,0.0,0.0,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",76,CBS
176,0.6514,Fri Mar 16 16:28:40 +0000 2018,0.822,0.0,0.178,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP,77,CBS
177,0.7088,Thu Mar 15 17:54:06 +0000 2018,0.763,0.0,0.237,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions 🗣💬➡️ https://t.co/ie1…",78,CBS
178,-0.4939,Thu Mar 15 17:20:26 +0000 2018,0.766,0.157,0.077,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,79,CBS
179,0.6514,Thu Mar 15 16:42:41 +0000 2018,0.806,0.0,0.194,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,80,CBS
180,0.6115,Thu Mar 15 14:32:16 +0000 2018,0.734,0.0,0.266,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,81,CBS
181,0.6696,Wed Mar 14 19:30:01 +0000 2018,0.781,0.0,0.219,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",82,CBS
182,0.3612,Tue Mar 13 18:48:52 +0000 2018,0.857,0.0,0.143,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",83,CBS
183,0.539,Tue Mar 13 14:15:10 +0000 2018,0.821,0.0,0.179,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",84,CBS
184,0.2244,Mon Mar 12 18:13:28 +0000 2018,0.917,0.0,0.083,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is 🔥🔥🔥! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,85,CBS
185,0.0,Mon Mar 12 01:20:43 +0000 2018,1.0,0.0,0.0,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",86,CBS
186,0.4926,Fri Mar 09 22:48:26 +0000 2018,0.883,0.0,0.117,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,87,CBS
187,0.1275,Fri Mar 09 22:24:20 +0000 2018,0.795,0.092,0.113,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",88,CBS
188,0.4215,Fri Mar 09 21:10:21 +0000 2018,0.823,0.0,0.177,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",89,CBS
189,0.8658,Fri Mar 09 18:27:28 +0000 2018,0.553,0.0,0.447,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",90,CBS
190,0.0,Fri Mar 09 16:02:27 +0000 2018,1.0,0.0,0.0,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,91,CBS
191,0.8625,Thu Mar 08 18:00:49 +0000 2018,0.664,0.0,0.336,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,92,CBS
192,0.4926,Thu Mar 08 17:03:04 +0000 2018,0.868,0.0,0.132,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,93,CBS
193,-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.619,0.23,0.15,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",94,CBS
194,0.0,Wed Mar 07 17:06:02 +0000 2018,1.0,0.0,0.0,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",95,CBS
195,0.6705,Tue Mar 06 18:10:59 +0000 2018,0.756,0.0,0.244,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",96,CBS
196,0.3818,Mon Mar 05 22:16:43 +0000 2018,0.833,0.0,0.167,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",97,CBS
197,0.4404,Sun Mar 04 08:05:26 +0000 2018,0.884,0.0,0.116,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",98,CBS
198,0.0,Sat Mar 03 20:55:20 +0000 2018,1.0,0.0,0.0,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",99,CBS
199,0.7096,Fri Mar 02 22:30:01 +0000 2018,0.753,0.0,0.247,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",100,CBS
200,-0.5267,Wed Apr 11 00:30:18 +0000 2018,0.64,0.248,0.112,"Carl Bernstein: ""We have a President of the United States willing to risk a constitutional crisis for this nation s… https://t.co/nSqPntulRT",1,CNN
201,0.2354,Wed Apr 11 00:25:11 +0000 2018,0.819,0.073,0.108,"""I'm just not sure we connected. He was too rehearsed, he did too good of a job. I wanted him just to come in, and… https://t.co/5PB2WonHDo",2,CNN
202,0.4939,Wed Apr 11 00:17:45 +0000 2018,0.802,0.0,0.198,Special counsel Robert Mueller’s investigators met with members of President Trump’s legal team on the same day tha… https://t.co/k7BY8w7BxE,3,CNN
203,0.4019,Wed Apr 11 00:15:55 +0000 2018,0.87,0.0,0.13,"President Trump tried to end special counsel Robert Mueller's probe in December, marking the second known attempt t… https://t.co/OW3CZuw2bZ",4,CNN
204,0.0,Wed Apr 11 00:10:58 +0000 2018,1.0,0.0,0.0,Zuckerberg testified before Congress for 5 hours today https://t.co/RMv1F4GFk8 https://t.co/utP3HotcCG,5,CNN
205,-0.0572,Wed Apr 11 00:05:34 +0000 2018,0.942,0.058,0.0,"""I don't want anyone at our company to make any decisions based on the political ideology of the content."" Zuckerbe… https://t.co/uBGThmsGAD",6,CNN
206,0.0,Tue Apr 10 23:54:13 +0000 2018,1.0,0.0,0.0,"A doctor who ran a fertility clinic in Canada used his own sperm to father at least 11 children, a class-action law… https://t.co/6sGeEVVJLb",7,CNN
207,0.0,Tue Apr 10 23:52:21 +0000 2018,1.0,0.0,0.0,RT @CNNPhotos: Mark Zuckerberg testifies on Capitol Hill. Photos by @StephenVoss: https://t.co/1RE8rpZxoE https://t.co/rbCySMfYOJ,8,CNN
208,0.0,Tue Apr 10 23:49:43 +0000 2018,1.0,0.0,0.0,"RT @OutFrontCNN: ""I think the adults who have been supervising him have mostly left, and I think he feels that he can do almost anything he…",9,CNN
209,0.3818,Tue Apr 10 23:47:02 +0000 2018,0.867,0.0,0.133,President Trump has signed an executive order directing federal agencies to promote employment for those on public… https://t.co/vB98yjM5br,10,CNN
210,-0.0258,Tue Apr 10 23:35:38 +0000 2018,0.659,0.174,0.168,How the Senate's tech illiteracy saved Mark Zuckerberg | Analysis by @CillizzaCNN https://t.co/Jjsu5UJerC https://t.co/TsOCsgHAjh,11,CNN
211,0.0,Tue Apr 10 23:31:30 +0000 2018,1.0,0.0,0.0,Why Trump chickened out of going to Peru https://t.co/fLkGqZXNkn via @CNNOpinion https://t.co/8ziy1DEZDT,12,CNN
212,0.5106,Tue Apr 10 23:31:00 +0000 2018,0.837,0.0,0.163,"Trump lawyer Michael Cohen says the FBI was “professional, courteous, respectful” during raid, counter to Trump’s d… https://t.co/8ldq5EIaOV",13,CNN
213,-0.6705,Tue Apr 10 23:28:10 +0000 2018,0.824,0.176,0.0,"The school board in Broward County, Florida -- where a gunman killed 17 students and staff members at one of its hi… https://t.co/ZHX2HMO7Dk",14,CNN
214,-0.296,Tue Apr 10 23:25:47 +0000 2018,0.891,0.109,0.0,"Arizona students covered under the DACA program can no longer receive breaks on college tuition, the state's Suprem… https://t.co/9zS9Jf2HdU",15,CNN
215,0.4767,Tue Apr 10 23:22:45 +0000 2018,0.633,0.113,0.253,"""The President and his supporters can keep calling special counsel Robert Mueller's investigation a 'witch hunt,' b… https://t.co/Juf2qXG6zk",16,CNN
216,-0.34,Tue Apr 10 23:08:35 +0000 2018,0.876,0.124,0.0,BREAKING: President Trump is considering firing Deputy Attorney General Rod Rosenstein in an effort to put greater… https://t.co/C9Tbkxmo5y,17,CNN
217,0.4939,Tue Apr 10 23:00:41 +0000 2018,0.824,0.0,0.176,"Sen. John Kennedy had a blunt message for Facebook CEO Mark Zuckerberg: ""Your user agreement sucks.""… https://t.co/hmTTN6SWeU",18,CNN
218,0.2112,Tue Apr 10 22:54:53 +0000 2018,0.817,0.076,0.107,"RT @CNNSitRoom: The FBI raid was ""upsetting to say the least,"" Michael Cohen tells CNN’s @donlemon, but does not fault the FBI agents https…",19,CNN
219,-0.6808,Tue Apr 10 22:46:12 +0000 2018,0.789,0.211,0.0,"Asked by @donlemon if he was worried, Trump lawyer Michael Cohen said, ""I would be lying to you if I told that I am… https://t.co/IbPDvP3lie",20,CNN
220,0.5719,Tue Apr 10 22:46:08 +0000 2018,0.749,0.0,0.251,"Mark Zuckerberg tells Sen. Cory Booker that he is ""committed"" to ensuring activist groups like Black Lives Matter a… https://t.co/lJIEDvXCp8",21,CNN
221,0.0,Tue Apr 10 22:42:41 +0000 2018,1.0,0.0,0.0,"In his first comments since the FBI raid on his home and office, Trump lawyer Michael Cohen said the FBI agents ""we… https://t.co/u4CnBiwRqe",22,CNN
222,-0.4404,Tue Apr 10 22:40:06 +0000 2018,0.847,0.153,0.0,"While testifying before Congress, Mark Zuckerberg denied that Facebook is listening in on users' phone calls… https://t.co/6JeeNNQJJW",23,CNN
223,0.0,Tue Apr 10 22:34:05 +0000 2018,1.0,0.0,0.0,"Sen. Blumenthal said he was ""dissatisfied"" with Mark Zuckerberg's testimony before Congress https://t.co/5NTRTCZ8xx https://t.co/hx5FABTEhM",24,CNN
224,0.743,Tue Apr 10 22:31:04 +0000 2018,0.717,0.0,0.283,"JUST IN: Michael Cohen says FBI were 'professional, courteous, respectful' in raids, counter to Trump's depiction o… https://t.co/hdVfnUxr4M",25,CNN
225,0.0,Tue Apr 10 22:25:23 +0000 2018,1.0,0.0,0.0,Why trillion-dollar budget deficits may be on a fast track to $2 trillion https://t.co/ZJlTG0DU6r https://t.co/0kox8paOzu,26,CNN
226,-0.4019,Tue Apr 10 22:08:55 +0000 2018,0.828,0.172,0.0,"Congress, let Facebook fix its own problems | By Alice Stewart via @CNNOpinion https://t.co/67U28UPTdL https://t.co/2IgkO7ooYa",27,CNN
227,-0.3089,Tue Apr 10 22:07:06 +0000 2018,0.876,0.124,0.0,"Sen. Dan Sullivan asks Mark Zuckerberg, ""Is Facebook too powerful?"" Zuckerberg didn't say yes or no… https://t.co/C8p20Pxvvt",28,CNN
228,0.0,Tue Apr 10 22:07:04 +0000 2018,1.0,0.0,0.0,What happens to communications swept up in the FBI raid on the office and hotel room of Michael Cohen? That's where… https://t.co/ivzRY7eUfC,29,CNN
229,0.0,Tue Apr 10 22:00:05 +0000 2018,1.0,0.0,0.0,"Facebook CEO Mark Zuckerberg confirmed during his testimony before Congress, that his company is cooperating with s… https://t.co/pa19jTmP1z",30,CNN
230,-0.4404,Tue Apr 10 21:57:07 +0000 2018,0.868,0.132,0.0,Facebook's data scandal has gotten a lot more personal for millions of users. Here's what to do if your information… https://t.co/g0dzBHGhO5,31,CNN
231,0.0,Tue Apr 10 21:52:02 +0000 2018,1.0,0.0,0.0,"Prices at the pump are likely to be 14% higher than last summer — an average of $2.74 per gallon, the US government… https://t.co/YAqRJdiDG7",32,CNN
232,-0.5994,Tue Apr 10 21:46:43 +0000 2018,0.766,0.234,0.0,"When Sen. Chris Coons confronted Mark Zuckerberg about fake profiles, Zuckerberg said Facebook needs to do a better… https://t.co/hxkpmdeFGk",33,CNN
233,-0.2263,Tue Apr 10 21:36:43 +0000 2018,0.894,0.106,0.0,A lawsuit against Harvard on behalf of Asian-American students moved a step further as a US district judge proposed… https://t.co/orkd3Wi3zB,34,CNN
234,0.3182,Tue Apr 10 21:29:19 +0000 2018,0.881,0.0,0.119,America made a promise in 1968. It's time to keep it. | By Heather K. Way via @CNNOpinion https://t.co/Bv3jvsilaj https://t.co/7EpdiAlOue,35,CNN
235,-0.3612,Tue Apr 10 21:25:25 +0000 2018,0.681,0.213,0.106,"As US President Donald Trump promised to respond ""forcefully"" to a suspected chemical attack in Syria within ""24 or… https://t.co/k7xe2PkdeQ",36,CNN
236,0.0516,Tue Apr 10 21:21:20 +0000 2018,0.769,0.111,0.12,Chinese investment in the United States plummeted in 2017. And that was before a trade fight erupted between the tw… https://t.co/ewYiDY4m8Y,37,CNN
237,0.0,Tue Apr 10 21:18:49 +0000 2018,1.0,0.0,0.0,A federal court has ruled that employers cannot use salary history to justify paying women less than men for the sa… https://t.co/NgZNXO4H4j,38,CNN
238,-0.1027,Tue Apr 10 21:12:22 +0000 2018,0.928,0.072,0.0,Sen. Cruz grilled Zuckerberg over whether Facebook has political bias. Zuckerberg said Facebook's goal is not to en… https://t.co/DUe6OsZeYn,39,CNN
239,0.7269,Tue Apr 10 21:04:26 +0000 2018,0.747,0.0,0.253,"Sen. Durbin presses Zuckerberg on privacy issues, asking: ""Would you be comfortable sharing with us the name of the… https://t.co/sesLkVzO6n",40,CNN
240,0.0,Tue Apr 10 20:58:00 +0000 2018,1.0,0.0,0.0,"EMILY's List President Stephanie Schriock says there is an ""avalanche"" of women running for office, and it's nothin… https://t.co/htAXuIBE2P",41,CNN
241,-0.6908,Tue Apr 10 20:49:08 +0000 2018,0.489,0.382,0.129,"The ""Roseanne"" reboot is ugly, uncomfortable and distressing. Good. | By Richard Morgan via @CNNOpinion… https://t.co/AdU4y0eptm",42,CNN
242,-0.1027,Tue Apr 10 20:47:12 +0000 2018,0.924,0.076,0.0,"After questioning Mark Zuckerberg, Senator Graham told reporters that he thought the Facebook CEO was “like Jell-O”… https://t.co/T9F061mH2H",43,CNN
243,-0.34,Tue Apr 10 20:43:28 +0000 2018,0.876,0.124,0.0,The White House just let slip a big secret about the possibility of firing Robert Mueller | Analysis by… https://t.co/L4h4LPvDD1,44,CNN
244,-0.4019,Tue Apr 10 20:39:38 +0000 2018,0.828,0.172,0.0,The right's insane sliming of David Hogg | By Jill Filipovic via @CNNOpinion https://t.co/KZovIX0L6I https://t.co/vENpv089UK,45,CNN
245,0.0,Tue Apr 10 20:37:20 +0000 2018,1.0,0.0,0.0,"After a brief recess, Facebook CEO Mark Zuckerberg continues to testify before Congress https://t.co/310VEWUDqZ
Wat… https://t.co/cJsFXrbtag",46,CNN
246,-0.296,Tue Apr 10 20:37:02 +0000 2018,0.879,0.121,0.0,"A 12-year-old video showing a sheriff discussing the cost of inmate and suspect deaths, versus keeping them alive,… https://t.co/npWvBbq84O",47,CNN
247,-0.5574,Tue Apr 10 20:33:17 +0000 2018,0.735,0.265,0.0,A woman died after being given formaldehyde instead of saline https://t.co/IfR9k8BL2u https://t.co/Nh1RBQ7dt2,48,CNN
248,0.0516,Tue Apr 10 20:32:04 +0000 2018,0.941,0.0,0.059,"""We've seen the apology tours before."" Sen. Richard Blumenthal has staffers stand behind him and hold up a sign tha… https://t.co/m9otTfXHfP",49,CNN
249,0.7717,Tue Apr 10 20:25:37 +0000 2018,0.705,0.0,0.295,"Facebook stock finished the day with a 4.5% gain, a seeming sign of confidence in Zuckerberg from Wall Street… https://t.co/UWFv4R8CKY",50,CNN
250,-0.6249,Tue Apr 10 20:20:51 +0000 2018,0.76,0.24,0.0,Why the Parkland crisis continues to resonate | By John Heubusch via @CNNOpinion https://t.co/cWRcjWafzA https://t.co/CDvWuqmcZ0,51,CNN
251,0.0,Tue Apr 10 20:19:05 +0000 2018,1.0,0.0,0.0,Zuckerberg says he's totally behind this piece of legislation that would disclose political ads… https://t.co/O1dmbGVk4l,52,CNN
252,-0.6705,Tue Apr 10 20:15:09 +0000 2018,0.632,0.268,0.1,"Just four days after a bus crash killed 15 people, including 10 young hockey players, a GoFundMe to help the victim… https://t.co/U3BEKhnjSN",53,CNN
253,-0.296,Tue Apr 10 20:14:06 +0000 2018,0.833,0.167,0.0,Is Zuckerberg under oath right now? The answer is no. https://t.co/TO4Wh4J8ss https://t.co/CxIFRNr1km,54,CNN
254,0.34,Tue Apr 10 20:10:22 +0000 2018,0.882,0.0,0.118,Russia has vetoed a US draft resolution at the UN Security Council that would have established an independent inves… https://t.co/AN6lVg9UGN,55,CNN
255,0.0,Tue Apr 10 20:09:25 +0000 2018,1.0,0.0,0.0,Zuckerberg says he doesn't know if Facebook employees were involved with Cambridge Analytica during the 2016 presid… https://t.co/Kxzwk2VZwJ,56,CNN
256,-0.1685,Tue Apr 10 20:04:20 +0000 2018,0.847,0.092,0.061,"""I want to clarify, I'm not sure we have subpoenas. I know we're working with them,"" Zuckerberg said after confirmi… https://t.co/Qsvv0Z7zFU",57,CNN
257,0.5859,Tue Apr 10 20:01:46 +0000 2018,0.769,0.0,0.231,Kellyanne Conway's husband appears to be defending special counsel Robert Mueller's investigation as well as the FB… https://t.co/85jRT6Rm1z,58,CNN
258,0.0,Tue Apr 10 19:59:29 +0000 2018,1.0,0.0,0.0,"Sen. Graham asks Zuckerberg about Facebook's competition, ""You don't think you have a monopoly?""… https://t.co/x3bZxSVFNk",59,CNN
259,-0.1027,Tue Apr 10 19:57:24 +0000 2018,0.896,0.104,0.0,Equal pay activist Lilly Ledbetter wants to meet with Ivanka Trump https://t.co/uGqN7YKi9a https://t.co/w0AHoimYta,60,CNN
